,ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved,CreditScore_Group,Suspicious
2111,2112,Male,White,37,25-60,104145,814,350949,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
2047,2048,Female,Hispanic,74,Over 60,30633,814,154801,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,1,Excellent,True
8963,8964,Female,White,54,25-60,34006,814,179139,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
4590,4591,Male,White,40,25-60,111623,814,268746,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7614,7615,Female,White,39,25-60,169456,814,315811,Self-employed,Some College,Citizen,Fluent,No,Yes,Historically Redlined,0,Excellent,True
1193,1194,Female,Hispanic,43,25-60,146425,814,427923,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1043,1044,Female,Hispanic,40,25-60,83965,814,429747,Full-time,Graduate,Permanent Resident,Fluent,Yes,No,High-income Suburban,0,Excellent,True
8403,8404,Female,Native American,68,Over 60,40630,814,360733,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
9882,9883,Female,Hispanic,34,25-60,69647,814,309802,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
9591,9592,Male,Asian,38,25-60,37171,814,426121,Full-time,High School,Permanent Resident,Fluent,No,No,Rural,1,Excellent,True
3100,3101,Female,White,53,25-60,45664,814,256917,Self-employed,High School,Permanent Resident,Fluent,No,No,Working Class Urban,1,Excellent,True
8780,8781,Male,White,54,25-60,88468,814,314578,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
2124,2125,Male,Black,40,25-60,69348,814,228490,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5871,5872,Male,White,77,Over 60,73960,814,325357,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
3821,3822,Female,White,81,Over 60,167781,814,232554,Full-time,Bachelor's,Citizen,Limited,No,No,Historically Redlined,0,Excellent,True
1668,1669,Male,White,69,Over 60,49184,813,321516,Full-time,High School,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
7390,7391,Male,Hispanic,67,Over 60,33206,813,362528,Gig,Bachelor's,Permanent Resident,Fluent,No,Yes,High-income Suburban,0,Excellent,True
1600,1601,Female,White,72,Over 60,76707,813,402180,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
8201,8202,Female,White,32,25-60,79739,813,348367,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1987,1988,Female,Hispanic,61,Over 60,156096,813,446337,Part-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
6374,6375,Male,White,51,25-60,45489,813,440108,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
2000,2001,Male,Black,49,25-60,25012,813,276074,Full-time,High School,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
7239,7240,Male,Hispanic,70,Over 60,37682,813,359414,Part-time,Some College,Citizen,Fluent,No,Yes,Urban Professional,0,Excellent,True
8310,8311,Male,White,80,Over 60,61074,813,101833,Self-employed,Graduate,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
9796,9797,Male,Black,71,Over 60,129780,813,396055,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
6288,6289,Male,White,48,25-60,47000,813,235198,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
2166,2167,Female,Hispanic,19,Under 25,108311,813,296491,Full-time,High School,Citizen,Limited,No,No,Rural,0,Excellent,True
2468,2469,Female,White,23,Under 25,101695,813,116220,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
9469,9470,Female,Hispanic,29,25-60,93259,813,204949,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
4378,4379,Female,Black,46,25-60,50394,813,72032,Full-time,Some College,Citizen,Fluent,Yes,No,Rural,0,Excellent,True
54,55,Male,Native American,58,25-60,25095,813,161764,Full-time,High School,Visa Holder,Fluent,No,No,Rural,1,Excellent,True
6050,6051,Female,White,37,25-60,37504,812,93198,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
2642,2643,Female,Hispanic,79,Over 60,142138,812,236257,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
9179,9180,Female,White,73,Over 60,31315,812,291739,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
2540,2541,Male,Multiracial,28,25-60,31060,812,220765,Self-employed,High School,Citizen,Fluent,No,No,Rural,1,Excellent,True
867,868,Male,White,75,Over 60,90448,812,426607,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
1860,1861,Female,White,18,Under 25,33190,812,180352,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
3288,3289,Male,White,20,Under 25,142689,812,300370,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
3617,3618,Male,White,46,25-60,28731,812,228604,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
2882,2883,Male,White,80,Over 60,174667,812,382212,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5930,5931,Male,Hispanic,18,Under 25,67765,812,399983,Part-time,Some College,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
2480,2481,Female,Black,46,25-60,46675,812,396844,Full-time,Some College,Citizen,Fluent,No,No,Rural,0,Excellent,True
9468,9469,Male,Hispanic,28,25-60,69758,811,421625,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
9454,9455,Male,Asian,51,25-60,126561,811,261605,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
4435,4436,Male,White,54,25-60,144914,811,388646,Gig,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8177,8178,Female,Black,23,Under 25,29227,811,318007,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban,0,Excellent,True
5644,5645,Female,Hispanic,39,25-60,37045,811,198909,Full-time,Graduate,Citizen,Fluent,No,No,Rural,1,Excellent,True
2725,2726,Female,White,66,Over 60,98345,811,152698,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
6302,6303,Male,White,68,Over 60,53049,811,231974,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
6194,6195,Male,White,51,25-60,154673,811,272079,Gig,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
767,768,Male,Hispanic,74,Over 60,43980,811,292896,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
9766,9767,Male,Hispanic,77,Over 60,31031,811,219745,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
9619,9620,Female,White,60,25-60,60918,811,406592,Full-time,High School,Citizen,Fluent,Yes,No,Historically Redlined,0,Excellent,True
6626,6627,Female,White,56,25-60,28066,811,88450,Full-time,Some College,Citizen,Fluent,No,No,Rural,1,Excellent,True
7779,7780,Female,White,42,25-60,38075,811,315244,Part-time,High School,Permanent Resident,Limited,No,No,Urban Professional,0,Excellent,True
4642,4643,Female,Hispanic,72,Over 60,113538,811,126779,Full-time,Some College,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
6561,6562,Male,Asian,34,25-60,35592,811,426230,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
1445,1446,Male,Hispanic,81,Over 60,68270,810,280060,Full-time,Bachelor's,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
4233,4234,Female,White,62,Over 60,105728,810,403213,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
6076,6077,Male,Hispanic,19,Under 25,31044,810,344142,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,1,Excellent,True
9373,9374,Female,White,59,25-60,125079,810,418071,Full-time,Some College,Citizen,Limited,No,No,Rural,0,Excellent,True
6101,6102,Male,Hispanic,27,25-60,65773,810,316859,Gig,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
3502,3503,Male,Asian,72,Over 60,122094,810,387612,Gig,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
5649,5650,Male,Black,21,Under 25,96082,810,262703,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
4798,4799,Female,White,44,25-60,58425,810,337260,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
9280,9281,Female,White,35,25-60,84845,810,286097,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
3564,3565,Male,Black,22,Under 25,48952,810,407779,Full-time,Some College,Citizen,Limited,No,No,Historically Redlined,0,Excellent,True
4727,4728,Female,White,48,25-60,147560,810,423055,Full-time,Bachelor's,Permanent Resident,Limited,No,Yes,Historically Redlined,0,Excellent,True
9038,9039,Male,Black,20,Under 25,158460,810,371188,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
8756,8757,Female,Asian,74,Over 60,135720,809,227524,Part-time,Some College,Citizen,Fluent,No,Yes,Rural,0,Excellent,True
5710,5711,Male,Black,66,Over 60,173135,809,343267,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
1333,1334,Female,Hispanic,59,25-60,171357,809,395954,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
1280,1281,Female,Black,47,25-60,105476,809,356195,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
330,331,Female,White,52,25-60,130304,809,404764,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
986,987,Female,White,24,Under 25,99508,809,65890,Gig,Bachelor's,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
4862,4863,Female,White,20,Under 25,81164,809,390788,Gig,High School,Citizen,Fluent,Yes,No,Rural,0,Excellent,True
7746,7747,Male,Hispanic,44,25-60,119500,809,303671,Part-time,High School,Citizen,Limited,Yes,No,High-income Suburban,0,Excellent,True
5348,5349,Female,Hispanic,72,Over 60,126611,809,330984,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
8267,8268,Female,Hispanic,55,25-60,30497,809,190038,Full-time,Some College,Visa Holder,Fluent,No,No,Working Class Urban,0,Excellent,True
9281,9282,Male,White,32,25-60,60423,809,336153,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
4348,4349,Female,Hispanic,60,25-60,152688,809,420113,Unemployed,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
3474,3475,Female,Multiracial,68,Over 60,30899,809,276263,Part-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1368,1369,Female,Hispanic,57,25-60,37385,809,264021,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
3278,3279,Non-binary,White,79,Over 60,117799,809,392102,Unemployed,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
8591,8592,Male,Hispanic,65,Over 60,53416,809,302298,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
6643,6644,Female,White,47,25-60,42600,809,263061,Unemployed,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
5967,5968,Male,White,66,Over 60,38571,808,340642,Gig,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
5467,5468,Male,Asian,80,Over 60,92229,808,343365,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
7935,7936,Male,White,27,25-60,31095,808,66745,Self-employed,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
5999,6000,Female,Black,69,Over 60,174615,808,162264,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1845,1846,Female,Asian,43,25-60,171614,808,299521,Full-time,Some College,Citizen,Fluent,Yes,No,Historically Redlined,0,Excellent,True
8521,8522,Female,White,67,Over 60,168814,808,377824,Part-time,High School,Permanent Resident,Limited,Yes,No,Rural,0,Excellent,True
6463,6464,Female,Black,80,Over 60,33559,808,107925,Part-time,High School,Citizen,Limited,No,Yes,Historically Redlined,0,Excellent,True
4892,4893,Male,White,81,Over 60,101692,808,182032,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
4903,4904,Female,White,75,Over 60,155782,807,88897,Part-time,Graduate,Permanent Resident,Limited,No,No,Urban Professional,0,Excellent,True
9319,9320,Male,Hispanic,61,Over 60,41179,807,253889,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
2083,2084,Male,White,23,Under 25,114349,807,53478,Part-time,Bachelor's,Citizen,Fluent,No,Yes,Historically Redlined,0,Excellent,True
5856,5857,Female,White,70,Over 60,45937,807,107107,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
3127,3128,Female,Black,80,Over 60,48841,807,409628,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
8858,8859,Male,White,80,Over 60,107747,807,190844,Part-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
3210,3211,Female,White,46,25-60,168504,807,76969,Full-time,Graduate,Permanent Resident,Fluent,No,No,Rural,0,Excellent,True
2967,2968,Male,White,55,25-60,168982,807,207483,Part-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
2123,2124,Male,Hispanic,18,Under 25,46077,807,301769,Gig,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6726,6727,Male,Asian,21,Under 25,109891,807,91727,Part-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
5578,5579,Male,Asian,44,25-60,68647,807,272661,Gig,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban,0,Excellent,True
9546,9547,Male,White,62,Over 60,45751,807,338872,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
467,468,Female,White,56,25-60,72893,807,403418,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
1726,1727,Female,Black,75,Over 60,170273,807,151603,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
2214,2215,Female,Hispanic,40,25-60,47374,807,278432,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7105,7106,Male,White,51,25-60,127514,807,139200,Self-employed,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
3151,3152,Female,White,65,Over 60,70962,807,243824,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban,0,Excellent,True
6052,6053,Male,Hispanic,38,25-60,111724,807,380520,Gig,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7626,7627,Male,Black,46,25-60,48524,807,51587,Part-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
175,176,Female,White,18,Under 25,51814,806,401076,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6569,6570,Male,Black,70,Over 60,152358,806,318938,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6982,6983,Female,Black,49,25-60,90104,806,286034,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
3884,3885,Female,Hispanic,45,25-60,82057,806,445441,Full-time,Some College,Visa Holder,Fluent,No,No,Working Class Urban,0,Excellent,True
2736,2737,Male,White,32,25-60,156465,806,376427,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7038,7039,Male,White,31,25-60,53984,806,271375,Full-time,High School,Citizen,Fluent,Yes,No,Rural,0,Excellent,True
991,992,Female,Hispanic,37,25-60,174605,806,97703,Gig,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
9586,9587,Male,White,51,25-60,166903,806,163907,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6906,6907,Female,White,57,25-60,30807,806,394688,Full-time,High School,Citizen,Limited,No,No,Rural,1,Excellent,True
1263,1264,Female,Hispanic,70,Over 60,160451,806,238045,Gig,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6896,6897,Female,White,20,Under 25,41558,806,336341,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
4161,4162,Male,White,70,Over 60,158138,806,299509,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5450,5451,Male,Hispanic,23,Under 25,126902,806,391550,Full-time,Some College,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
5290,5291,Male,Black,46,25-60,42740,806,148745,Full-time,High School,Citizen,Fluent,No,No,Rural,1,Excellent,True
3646,3647,Male,White,66,Over 60,38301,806,311981,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,1,Excellent,True
8342,8343,Female,White,42,25-60,135158,805,80293,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
1709,1710,Female,White,32,25-60,54948,805,197846,Full-time,Some College,Citizen,Limited,No,No,Rural,0,Excellent,True
4364,4365,Male,Hispanic,37,25-60,130425,805,217731,Full-time,Graduate,Citizen,Fluent,Yes,No,Rural,0,Excellent,True
2119,2120,Male,Black,50,25-60,99597,805,434212,Full-time,Some College,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
7245,7246,Female,White,37,25-60,89344,805,251977,Part-time,Graduate,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
5385,5386,Female,White,40,25-60,32793,805,188199,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
9077,9078,Female,Native American,37,25-60,40096,805,254642,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
6497,6498,Female,White,28,25-60,55677,805,290687,Self-employed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
442,443,Female,White,50,25-60,26228,805,408615,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,1,Excellent,True
9172,9173,Male,White,80,Over 60,88911,805,320777,Gig,Some College,Permanent Resident,Fluent,No,No,Rural,0,Excellent,True
9296,9297,Female,Black,79,Over 60,51951,805,219393,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
7628,7629,Male,White,45,25-60,54636,804,268886,Self-employed,Bachelor's,Visa Holder,Fluent,Yes,No,Rural,0,Excellent,True
4635,4636,Female,White,35,25-60,167154,804,270956,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
9192,9193,Female,Black,61,Over 60,26631,804,184650,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
9135,9136,Male,White,71,Over 60,42808,804,52589,Full-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
5671,5672,Female,White,71,Over 60,54887,804,300619,Full-time,Some College,Permanent Resident,Fluent,No,Yes,Urban Professional,0,Excellent,True
2788,2789,Non-binary,Asian,62,Over 60,124016,804,401474,Full-time,Some College,Citizen,Fluent,No,No,Rural,0,Excellent,True
1485,1486,Male,Black,82,Over 60,43394,804,264708,Full-time,Graduate,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
8421,8422,Male,Multiracial,67,Over 60,40487,804,217793,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
1352,1353,Male,White,75,Over 60,26814,804,375751,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
2299,2300,Female,White,82,Over 60,140612,804,340933,Part-time,Some College,Citizen,Limited,No,No,Historically Redlined,0,Excellent,True
4933,4934,Male,White,77,Over 60,56368,804,348280,Part-time,Bachelor's,Citizen,Limited,No,No,Rural,0,Excellent,True
8876,8877,Male,White,65,Over 60,38051,803,242038,Part-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8911,8912,Female,Hispanic,65,Over 60,144790,803,305428,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
3233,3234,Female,White,72,Over 60,70404,803,213464,Part-time,Graduate,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
4253,4254,Female,Asian,81,Over 60,47895,803,417997,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
7662,7663,Male,White,82,Over 60,40663,803,247394,Full-time,Bachelor's,Citizen,Limited,Yes,No,Urban Professional,1,Excellent,True
4244,4245,Female,White,64,Over 60,110178,803,389800,Self-employed,Bachelor's,Visa Holder,Fluent,No,No,Urban Professional,0,Excellent,True
8936,8937,Female,White,38,25-60,75027,803,299814,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
8285,8286,Male,Hispanic,21,Under 25,55371,803,387214,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
1017,1018,Female,Hispanic,42,25-60,150929,803,304920,Part-time,Bachelor's,Citizen,Limited,Yes,No,Urban Professional,0,Excellent,True
5080,5081,Female,White,47,25-60,125943,803,443244,Full-time,Some College,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
8220,8221,Male,White,49,25-60,115600,803,145057,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
5095,5096,Female,Black,51,25-60,47856,803,155645,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5274,5275,Female,White,51,25-60,93645,803,214420,Gig,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
9558,9559,Female,Asian,20,Under 25,132887,803,362504,Unemployed,Bachelor's,Visa Holder,Fluent,Yes,No,High-income Suburban,0,Excellent,True
5359,5360,Male,Black,50,25-60,150220,803,389420,Self-employed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
7428,7429,Male,White,37,25-60,120936,803,415494,Full-time,Some College,Permanent Resident,Limited,Yes,No,High-income Suburban,0,Excellent,True
6424,6425,Female,White,37,25-60,66810,803,330201,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
4713,4714,Male,White,27,25-60,61363,802,79248,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
820,821,Male,White,40,25-60,44936,802,351169,Full-time,High School,Citizen,Limited,Yes,No,Working Class Urban,1,Excellent,True
4897,4898,Female,White,81,Over 60,85091,802,374471,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
1423,1424,Male,Hispanic,65,Over 60,66945,802,359001,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
220,221,Female,White,47,25-60,126286,802,275615,Full-time,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
9917,9918,Female,Hispanic,53,25-60,47173,802,382784,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
3692,3693,Non-binary,Black,19,Under 25,149586,802,189922,Full-time,High School,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
2296,2297,Female,Asian,32,25-60,156248,802,276974,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
4234,4235,Male,White,70,Over 60,56156,802,299945,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6508,6509,Female,Black,26,25-60,129335,802,347443,Full-time,Some College,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
2118,2119,Female,Black,76,Over 60,35240,802,96311,Gig,High School,Citizen,Fluent,No,No,Rural,1,Excellent,True
7096,7097,Male,White,24,Under 25,131806,802,220702,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2443,2444,Female,White,73,Over 60,92602,802,315495,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,High-income Suburban,0,Excellent,True
9596,9597,Female,White,73,Over 60,96854,801,260198,Full-time,Graduate,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
5142,5143,Female,Hispanic,65,Over 60,25799,801,265539,Full-time,Bachelor's,Citizen,Limited,No,No,Rural,1,Excellent,True
4064,4065,Male,White,80,Over 60,76412,801,221421,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
2596,2597,Male,White,80,Over 60,91170,801,397501,Full-time,High School,Visa Holder,Fluent,No,No,Rural,0,Excellent,True
419,420,Female,Black,18,Under 25,111199,801,308335,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
4663,4664,Female,Black,32,25-60,138030,801,221011,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
9698,9699,Male,White,78,Over 60,126066,801,288584,Part-time,Graduate,Citizen,Fluent,Yes,No,Rural,0,Excellent,True
9738,9739,Male,White,47,25-60,110897,801,405465,Self-employed,Bachelor's,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
157,158,Female,White,20,Under 25,59341,801,423490,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
9772,9773,Male,Hispanic,33,25-60,58252,801,242962,Part-time,Bachelor's,Citizen,Fluent,No,Yes,Historically Redlined,0,Excellent,True
3756,3757,Male,White,54,25-60,34546,801,392203,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,1,Excellent,True
3735,3736,Male,White,35,25-60,81034,801,438341,Gig,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
4575,4576,Male,Black,52,25-60,152108,801,360419,Self-employed,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional,0,Excellent,True
2535,2536,Female,Asian,79,Over 60,159591,801,440604,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
7412,7413,Male,Hispanic,30,25-60,111327,801,244980,Unemployed,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
4354,4355,Non-binary,Native American,22,Under 25,58282,801,159005,Self-employed,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
7642,7643,Female,White,52,25-60,75629,801,286474,Self-employed,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
2324,2325,Female,White,45,25-60,103100,800,312574,Unemployed,Graduate,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
9080,9081,Female,Hispanic,29,25-60,109951,800,102775,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
1360,1361,Female,Asian,49,25-60,62829,800,432968,Part-time,Some College,Citizen,Fluent,No,No,Rural,0,Excellent,True
9036,9037,Female,Asian,82,Over 60,153441,800,79323,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
122,123,Male,White,50,25-60,160017,800,85294,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Working Class Urban,0,Excellent,True
4110,4111,Male,White,35,25-60,160643,800,200428,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
9696,9697,Male,White,22,Under 25,88602,800,66571,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
2947,2948,Male,White,79,Over 60,124078,800,415309,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
9795,9796,Male,White,68,Over 60,88736,800,248616,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
8548,8549,Female,Asian,78,Over 60,61228,800,188790,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
